text,noisy_text
They want to make maps of the whole world but they have mostly stayed away from the Arctic,They want to make mzaps of the whole owld Cut thehy have mostly stayzd aay from the Arctic
A small Google team has flown to Iqaluit the largest town in the Canadian territory of Nunavut,A small Google team has flwn to IqaOuit the largest tow in the Canadia territory of NuInavut
An Inuit mapping expert helped the Google team and curious locals followed them around,An Inuit mappin expert helped the Googl eteam and cuirous loWals followed them around
The town of 7000 people will go on display via Googles popular Street View application in July 2013,The townof 7000 people will go on diplay via Googles populai Street View appliIctuon in July 2I13
When Google made maps of other parts of the world it used a special camera on a car roof,When Google made maps of other parts of thew orlrd it useda specialX camera bof azcar roof
In Iqaluit that was not possible so Googles map makers walked the towns snowy roads and trails,In Iqaluit that wBs not possiSle suo Googles map makers walked teh downs snowy roads and traitls
Some roads are made of ice and disappear in the short summer months,Some roads are mndeof iche and disappearGin Zhe short summer monts
About 30 Inuit elders business people and highschool pupils helped Google to correct this problem,About 30 Inuit eledrs business lpeople and highschool pBupils helped Google ot corXect zthist problem
The project is more than a novelty,The project is moie than a nohelty
It may also help planning decisions in Iqaluit happen more quickly,It may also help planbng deckions in Iqlauit fhapcen more quickly
The project leader for Google said he hoped to see the work continue in other northern towns,Thet proVecQt leader for Google said he hopPd to ee the work lontitue in other northern towns
But moving people and equipment around the vast Arctic territory is very expensive,Butmoving people and equipGmWnt around te vast Ahrctic territory is veryHexpensve
So in the future Google might send equipment to the area and ask volunteers to complete the map,Soin the futue GoogSe might send equimpentt o hte area and ask volunteers tocompUete the mac
Dr Ben Brabon of Edgehill University teaches a MOOC  a massive open online course,Dr BeA Brabon of EdgehilUniversity eaches a MOOC  a mnssive open online course
The course is one of only two accredited MOOCs in the UK at the moment,The course is one of oMnly two accredited MOOCs Qn the UK at te Lmoment
MOOCs are the newest idea to try to make higher education available to everyone,wOOCsare the newest iea to try toB ake higher educaion availablet o everyone
Investors hope to find a business model for MOOCs that will make them profitable,Investobst hope to find  businNesXs odelfor MpOOCs tha willOmaDe them profitable
Nobody can say exactly who MOOCs are for,Nobody can say exactpy who wMOOCs are for
MOOCs may be popular at the beginning but very few people complete them says Dr Brabon,MwOOs may be popular a the beginxing QutT very feWw peopledcomplete therm says er Brabon
His literature course had 1000 enrolments but only 31 people completed the course,His literapure course had O1000 enolments but nly 31 people completed tee coirse
And almost all of those had a first degree or had been educated to degree level he says,And amlots all of tohseh ad a firut degree or had een educated o degrea level he says
With MOOCs theres very little support the student does not get any individual attention,eith MOOCs theres vEery ltitle support the student loes not geto anjy inkdividuEal attentioAn
Students get support from other students in online discussions,Students ge suMpport from other students in online dicsussions
But thats in the future,But Uthats in the futuSre
Mike Sharples chair of Educational Technology doesnt agree,Mike Sharples chair of EucMtional Technology doent agree
MOOCs are mainly a way to publicize and share universities best teachers,MbOOCs are mainlA aw ay to poEblicize adn share universtieh sbest teacherM
They also encourage interaction and feedback from students around the world he says,They also encourage intermction and ieedback frIm student around the worlNd he says
This is because factory owners are asking for compensation for the cost of closures and repair work,ThLs is because factory owners afre asking for compensation fo tNe csot of closures and rewpair work
Also they cannot pay for big works to make buildings safe,Also they annot pay fr big wokrs to make buildiCgs ksafe
He wants around 100 million in compensation,He wants around 1Z00 illion in compensEation
The factory owner said it was not clear in the Accord agreement who would pay for factory closures,The factry ownerjsaid ft was not cleafin the Accord agreement woh wouMld payfor factory closWures
The Accord also asks companies to make sure that workers receive pay during factory closures,Theh Accord aHlso asks compaiaso make sre thst wnoJkers meceive pay during factory closures
It is not surprising that there is disruption,It is nto usrprising kthat there is disrupgtion
If there was no disruption there would be no change she said,If there was no disruption there zwould be no change she said
But there is now more pressure on the Accord to help pay workers when their factories close,But there is now more prsesure on the Accord to help pay fworers when ther actorise close
The Alliance is sharing the workers salary with factory owners so now there is a big confusion,The Alliance iO sharfng the woDrkers salray iwth fGcjtory owners soC now tvhere isa big cWonfusion
The small room looks like a classroom,The small rDoomlooks like  classroom
The posters on the walls show letters of the alphabet and a map of Bangladesh,The posters on the Hsalls shw letters o the alphabet and a amp of Bangladesh
But the children who learn in this threesquaremetre room are lucky,But the cchildren whorlearn in ths threesquaremettre room are lucy
They have escaped working in the factories opposite,Theyhave escaped workinggin the factories opposte
It especially tries to help children who do dangerous work,Iti especyallyRtries to help children gho do dangerous work
The classroom is one of 23 centres that SOHAY has set up in Dhaka,The classroofm ic Mone of 23 censtres that DOHAY has set up in DhGaak
The classes at the centres help children enter primary school,The classes at the ctnresUhpelpchildren entes primary scQool
When they are in school the children get extra help with their homework at the centres,When theyDare in school the children get extra help wiht their hmneworko at the centres
Alamin ten years old used to work in a plastic factory,lamRn ten years ol Rsed to work in a plastic factoy
He now goes to one of the centres,He now goes o one of teh WcGtes
His parents are happy that hes now in school and not doing dangerous work,Hks parents are happy that hRs now in school and not doinig dangerous work
His friend Rabi says he wants to forget his past in the factory,His friedn Rab isayts h wants to frdget ihs past in the factory
